observation_date,GDP,T10YIE,VIXCLS
2014-01-02,17197.738,2.26,14.23
2014-01-03,17197.738,2.26,13.76
2014-01-06,17197.738,2.26,13.55
2014-01-07,17197.738,2.26,12.92
2014-01-08,17197.738,2.29,12.87
2014-01-09,17197.738,2.31,12.89
2014-01-10,17197.738,2.29,12.14
2014-01-13,17197.738,2.27,13.28
2014-01-14,17197.738,2.26,12.28
2014-01-15,17197.738,2.28,12.28
2014-01-16,17197.738,2.25,12.53
2014-01-17,17197.738,2.26,12.44
2014-01-21,17197.738,2.26,12.87
2014-01-22,17197.738,2.25,12.84
2014-01-23,17197.738,2.13,13.77
2014-01-24,17197.738,2.14,18.14
2014-01-27,17197.738,2.14,17.42
2014-01-28,17197.738,2.15,15.8
2014-01-29,17197.738,2.14,17.35
2014-01-30,17197.738,2.15,17.29
2014-01-31,17197.738,2.14,18.41
2014-02-03,17197.738,2.14,21.44
2014-02-04,17197.738,2.13,19.11
2014-02-05,17197.738,2.14,19.95
2014-02-06,17197.738,2.16,17.23
2014-02-07,17197.738,2.18,15.29
2014-02-10,17197.738,2.19,15.26
2014-02-11,17197.738,2.19,14.51
2014-02-12,17197.738,2.21,14.3
2014-02-13,17197.738,2.17,14.14
2014-02-14,17197.738,2.16,13.57
2014-02-18,17197.738,2.14,13.87
2014-02-19,17197.738,2.13,15.5
2014-02-20,17197.738,2.13,14.79
2014-02-21,17197.738,2.12,14.68
2014-02-24,17197.738,2.16,14.23
2014-02-25,17197.738,2.15,13.67
2014-02-26,17197.738,2.16,14.35
2014-02-27,17197.738,2.16,14.04
2014-02-28,17197.738,2.17,14.0
2014-03-03,17197.738,2.16,16.0
2014-03-04,17197.738,2.18,14.1
2014-03-05,17197.738,2.18,13.89
2014-03-06,17197.738,2.21,14.21
2014-03-07,17197.738,2.23,14.11
2014-03-10,17197.738,2.22,14.2
2014-03-11,17197.738,2.2,14.8
2014-03-12,17197.738,2.19,14.47
2014-03-13,17197.738,2.17,16.22
2014-03-14,17197.738,2.17,17.82
2014-03-17,17197.738,2.18,15.64
2014-03-18,17197.738,2.18,14.52
2014-03-19,17197.738,2.16,15.12
2014-03-20,17197.738,2.13,14.52
2014-03-21,17197.738,2.14,15.0
2014-03-24,17197.738,2.15,15.09
2014-03-25,17197.738,2.14,14.02
2014-03-26,17197.738,2.14,14.93
2014-03-27,17197.738,2.13,14.62
2014-03-28,17197.738,2.13,14.41
2014-03-31,17197.738,2.13,13.88
2014-04-01,17518.508,2.14,13.1
2014-04-02,17518.508,2.14,13.09
2014-04-03,17518.508,2.14,13.37
2014-04-04,17518.508,2.13,13.96
2014-04-07,17518.508,2.12,15.57
2014-04-08,17518.508,2.11,14.89
2014-04-09,17518.508,2.14,13.82
2014-04-10,17518.508,2.14,15.89
2014-04-11,17518.508,2.13,17.03
2014-04-14,17518.508,2.13,16.11
2014-04-15,17518.508,2.14,15.61
2014-04-16,17518.508,2.17,14.18
2014-04-17,17518.508,2.21,13.36
2014-04-21,17518.508,2.2,13.25
2014-04-22,17518.508,2.21,13.19
2014-04-23,17518.508,2.21,13.27
